date,year,month,day,open,close,high,low,volume,money,rt,rv,rk,rk2
2011/10/18,2011,10,25,880.83,901.91,903.67,877.27,276654800,3234601026,1.63783781,2.68251271,0.0003023,0.00011089
2011/10/19,2011,10,26,896.7,912.56,922,895.73,347486300,4368065356,1.53693307,2.36216328,0.00020379,9.00E-05
2011/10/20,2011,10,27,915.01,913.93,925.87,911.8,308881100,3630365260,0.82657636,0.68322848,0.00010598,7.26E-05
2011/10/21,2011,10,28,925.04,935.21,935.55,918.19,422838000,5193130564,0.94833015,0.89933008,0.00011072,4.13E-05
2011/10/24,2011,10,31,934.29,943.23,945.3,930.71,398118400,4998569167,0.84570926,0.71522416,0.00010153,4.99E-05
2011/11/1,2011,11,1,934.48,945.24,950.07,932.02,391212100,4846360995,0.5060391,0.25607557,0.0001875,9.59E-05
2011/11/2,2011,11,2,930.49,966.9,967.18,928.26,487381800,5977217425,1.48115493,2.19381992,0.00027498,0.00013536
2011/11/3,2011,11,3,973.06,972.06,990.62,971.83,704291600,9461063380,1.89813622,3.60292114,0.00016715,8.96E-05
2011/11/4,2011,11,4,978.96,981.5,984.79,971.06,455454400,6041298530,0.37506837,0.14067628,0.0001005,6.85E-05
2011/11/7,2011,11,7,978.89,976.85,989.36,976.05,357356100,4771862475,-0.0937066,0.00878093,7.72E-05,3.88E-05
2011/11/8,2011,11,8,977.25,968.24,978.27,965.36,338350400,4206162383,-0.4750871,0.22570781,8.50E-05,5.58E-05
2011/11/9,2011,11,9,971.46,983.82,983.9,961.36,335334300,4495945035,0.29099679,0.08467913,0.00019135,9.00E-05
2011/11/10,2011,11,10,974.21,978.85,990.2,971.57,432792200,5956499712,0.32912219,0.10832142,8.81E-05,5.19E-05
2011/11/11,2011,11,11,977.83,970.65,979.78,967.06,256191800,3476286708,-0.1589924,0.02527859,0.00010764,5.78E-05
2011/11/14,2011,11,14,980.04,994.85,995.02,980.04,367726100,5005945008,0.74942469,0.56163736,6.14E-05,3.02E-05
2011/11/15,2011,11,15,994.6,1004.18,1004.94,993.15,401273800,5064196198,1.05677657,1.11677673,7.42E-05,5.48E-05
2011/11/16,2011,11,16,1007.92,979.31,1009.62,974.83,414034800,5229720192,-0.6728265,0.45269558,0.00014691,6.42E-05
2011/11/17,2011,11,17,979.54,976.95,989.79,976.49,285586600,3597196633,-1.3553725,1.8370348,9.78E-05,6.70E-05
2011/11/18,2011,11,18,971.39,948.78,971.74,947.21,381419100,5227619293,-1.3856654,1.9200686,0.00016844,9.53E-05
2011/11/21,2011,11,21,948.13,948.11,951.6,939.22,211402400,3045438980,-1.0534901,1.1098414,0.00011746,6.88E-05
2011/11/22,2011,11,22,941.08,950.73,950.89,936.44,202353000,2674271990,0.11893097,0.01414457,0.00015961,7.95E-05
2011/11/23,2011,11,23,953.53,949.01,961.66,948.07,226082700,3385899561,0.36442449,0.13280521,0.00010369,7.40E-05
2011/11/24,2011,11,24,940.49,946.13,951.58,933.58,211710800,3020572058,-0.3383548,0.11448397,0.00010866,5.24E-05
2011/11/25,2011,11,25,945.03,939.54,952.01,938.64,185450200,2595700256,-0.0438907,0.00192639,7.06E-05,3.56E-05
2011/11/28,2011,11,28,941.34,946.82,950.55,939.15,212461600,2974292933,0.08218276,0.006754,0.00011221,6.35E-05
2011/11/29,2011,11,29,953.76,958.19,958.26,946.77,217482500,2996814476,0.77051207,0.59368885,7.43E-05,3.04E-05
2011/11/30,2011,11,30,956.2,923.35,957.42,914.87,297588600,3699171859,-1.407275,1.98042319,0.00039737,0.00019208
2011/12/1,2011,12,1,944.05,936.75,950.65,933.34,313964800,4311182286,-0.8925037,0.79656296,0.00018066,8.52E-05
