date,open,close,high,low,volume,money,rt1,year,month,day,rk,rt,rv,rk_twoscale
2011/3/30,1373.96,1370.36,1380.01,1361.69,1478697600,22033108659,-0.001711162,2011,3,30,1.30E-04,-0.1711162,0.029280754,8.15E-05
2011/3/31,1369.42,1350.39,1371.57,1348,1300121800,19878265686,-0.00637546,2011,3,31,1.44E-04,-0.637546,0.406464902,1.12E-04
2011/4/1,1352.12,1368.67,1368.67,1347.19,1218998500,19208856359,0.005839535,2011,4,1,1.24E-04,0.5839535,0.34100169,7.16E-05
2011/4/6,1366.24,1375.88,1379.18,1362.65,2050373500,36705462612,0.00228181,2011,4,6,4.61E-05,0.228181,0.052066569,3.71E-05
2011/4/7,1376.31,1388.06,1388.12,1373.1,1663139600,28143031510,0.003827682,2011,4,7,6.13E-05,0.3827682,0.146511495,3.75E-05
2011/4/8,1387.34,1402.31,1402.98,1384.43,1420612400,22259288759,0.004435792,2011,4,8,7.45E-05,0.4435792,0.196762507,4.19E-05
2011/4/11,1404.47,1385.71,1409.12,1384.19,1738132200,28137456566,-0.00517168,2011,4,11,5.89E-05,-0.517168,0.26746274,4.40E-05
2011/4/12,1384.64,1388.23,1393.78,1379.29,1671060100,24370187549,0.000789074,2011,4,12,2.55E-04,0.0789074,0.006226378,1.22E-04
2011/4/13,1384.73,1404.61,1404.62,1377.3,1590872700,24185448404,0.005094331,2011,4,13,9.64E-04,0.5094331,0.259522083,4.81E-04
2011/4/14,1405.03,1396.42,1405.51,1394.08,1470329600,21558565976,-0.002539696,2011,4,14,2.74E-04,-0.2539696,0.064500558,1.41E-04
2011/4/15,1393.05,1396.86,1406.82,1385,1356221800,22056026774,0.000136821,2011,4,15,7.30E-04,0.0136821,0.0001872,2.49E-04
2011/4/18,1393.66,1401.97,1403.43,1392.12,1571567700,23757432945,0.001585839,2011,4,18,3.81E-04,0.1585839,0.025148853,1.98E-04
2011/4/19,1394.76,1388.04,1398.1,1380.41,1596566500,21100506912,-0.004336739,2011,4,19,1.72E-04,-0.4336739,0.188073052,9.39E-05
2011/4/20,1387.38,1386.66,1391.58,1380.28,1580913400,23300240155,-0.000431994,2011,4,20,4.81E-04,-0.0431994,0.001866188,1.58E-04
2011/4/21,1392.15,1395.02,1396.14,1388.88,1522381900,21206005605,0.002610446,2011,4,21,2.15E-04,0.2610446,0.068144283,1.08E-04
2011/4/22,1395.78,1395.54,1401.62,1392.7,1239643500,18689097166,0.000161855,2011,4,22,2.94E-04,0.0161855,0.00026197,1.78E-04
2011/4/25,1393.42,1382.79,1397.74,1381.26,1818828400,23952336911,-0.003986059,2011,4,25,1.87E-04,-0.3986059,0.158886664,7.45E-05
2011/4/26,1379.87,1369.15,1384.97,1364.43,1420137900,19120612589,-0.004305199,2011,4,26,5.54E-05,-0.4305199,0.185347384,4.84E-05
2011/4/27,1370.91,1359.47,1378.87,1349.24,1304694100,17083999357,-0.003081402,2011,4,27,1.09E-04,-0.3081402,0.094950383,4.64E-05
2011/4/28,1364.33,1326.4,1367.46,1326.36,1456320800,21372849419,-0.010695115,2011,4,28,1.16E-04,-1.0695115,1.143854849,5.85E-05
2011/4/29,1326.72,1346.89,1347.46,1324.68,1138005800,17043631181,0.006657615,2011,4,29,9.11E-04,0.6657615,0.443238375,3.53E-04
2011/5/3,1348.22,1361.97,1362.85,1338.76,900487400,14742166698,0.004835413,2011,5,3,1.31E-04,0.4835413,0.233812189,8.01E-05
2011/5/4,1356.28,1328.63,1356.28,1325.24,1200550400,19098990237,-0.010763487,2011,5,4,5.70E-05,-1.0763487,1.158526524,2.16E-05
2011/5/5,1327.1,1332.89,1337.03,1325.57,965228900,15400188344,0.001390255,2011,5,5,1.21E-04,0.1390255,0.01932809,8.26E-05
2011/5/6,1326.07,1350.51,1355.31,1323.53,1374487300,18291604207,0.005703495,2011,5,6,1.12E-04,0.5703495,0.325298552,7.44E-05
2011/5/9,1353.08,1356.8,1363.55,1349.79,1169742300,17014317843,0.002018031,2011,5,9,1.69E-04,0.2018031,0.040724491,6.99E-05
2011/5/10,1357.1,1366.17,1366.17,1350.77,936825700,15046932728,0.002988909,2011,5,10,1.03E-04,0.2988909,0.08933577,6.15E-05
2011/5/11,1368.16,1366.48,1375.11,1356.7,1164337200,16379471197,9.85E-05,2011,5,11,8.51E-05,0.00985353,9.71E-05,4.59E-05
2011/5/12,1359.32,1348.97,1369.81,1348.97,1083480200,15649627846,-0.005600988,2011,5,12,1.55E-04,-0.5600988,0.313710666,7.38E-05
2011/5/13,1350.54,1356.1,1356.93,1337.99,1020994800,15706523233,0.002289425,2011,5,13,1.81E-04,0.2289425,0.052414668,7.77E-05
2011/5/16,1356.86,1357.11,1365.99,1353.04,1133130800,15332763082,0.000323335,2011,5,16,4.31E-05,0.0323335,0.001045455,4.27E-05
2011/5/17,1354.89,1355.04,1363.12,1342.83,1139639900,16342653712,-0.000662935,2011,5,17,8.04E-05,-0.0662935,0.004394828,3.29E-05
2011/5/18,1352.17,1364.66,1365.48,1351.17,953750000,14045727678,0.003072346,2011,5,18,6.01E-05,0.3072346,0.094393099,2.99E-05
2011/5/19,1368.01,1357.96,1372.92,1356.66,1283557000,16289980174,-0.002137484,2011,5,19,5.51E-05,-0.2137484,0.045688379,2.86E-05
2011/5/20,1357,1353.42,1360.01,1349.84,1010921100,14741417300,-0.001454388,2011,5,20,4.42E-04,-0.1454388,0.021152445,2.18E-04
2011/5/23,1350.21,1306.54,1350.21,1306.13,1475029200,19187011264,-0.01530988,2011,5,23,1.44E-04,-1.530988,2.343924256,7.35E-05
2011/5/24,1299.86,1304.38,1305.29,1291.86,1151702300,16394128578,-0.000718579,2011,5,24,7.21E-05,-0.0718579,0.005163558,4.37E-05
2011/5/25,1301.39,1286.79,1306.2,1283.84,1049751200,13944498215,-0.005896454,2011,5,25,1.55E-04,-0.5896454,0.347681698,6.71E-05
2011/5/26,1295.47,1275.37,1300.76,1275.37,899216900,13735162622,-0.00387148,2011,5,26,1.62E-04,-0.387148,0.149883574,9.27E-05
